Model,Conf_Threshold,mAP,mAP_50,mAP_75
PekingU/rtdetr_v2_r101vd,0.001,0.11334073543548584,0.1448185294866562,0.11490108072757721
PekingU/rtdetr_r101vd,0.001,0.11334073543548584,0.1448185294866562,0.11490108072757721
PekingU/rtdetr_r101vd,0.1,0.11130943894386292,0.1418960988521576,0.11250953376293182
PekingU/rtdetr_v2_r101vd,0.1,0.11130943894386292,0.1418960988521576,0.11250953376293182
PekingU/rtdetr_r101vd,0.2,0.11049330979585648,0.1418960988521576,0.11250953376293182
PekingU/rtdetr_v2_r101vd,0.2,0.11049330979585648,0.1418960988521576,0.11250953376293182
PekingU/rtdetr_r101vd,0.3,0.10370466858148575,0.1305188685655594,0.10642474889755249
PekingU/rtdetr_v2_r101vd,0.3,0.10370466858148575,0.1305188685655594,0.10642474889755249
yolov8m.pt,0.001,0.09770282357931137,0.12772753834724426,0.09743789583444595
PekingU/rtdetr_v2_r50vd,0.001,0.09749146550893784,0.12868770956993103,0.10264939069747925
yolo11m.pt,0.001,0.09711942076683044,0.12124714255332947,0.10423250496387482
PekingU/rtdetr_v2_r50vd,0.1,0.09696844220161438,0.12868770956993103,0.1002410426735878
PekingU/rtdetr_r50vd,0.001,0.09647878259420395,0.12737028300762177,0.09973569214344025
PekingU/rtdetr_r50vd,0.1,0.09619659185409546,0.12737028300762177,0.09973569214344025
PekingU/rtdetr_v2_r50vd,0.2,0.09426116198301315,0.1228150799870491,0.09772031754255295
PekingU/rtdetr_r50vd,0.2,0.0927247479557991,0.1212243139743805,0.09702795743942261
yolo11x.pt,0.001,0.09090122580528259,0.1116085797548294,0.09231646358966827
PekingU/rtdetr_v2_r50vd,0.3,0.0881173387169838,0.11650890111923218,0.09242037683725357
yolov8x.pt,0.001,0.08314848691225052,0.10126223415136337,0.0849398598074913
facebook/detr-resnet-101,0.001,0.08285126090049744,0.1269645243883133,0.08631868660449982
yolov8m.pt,0.1,0.08186068385839462,0.10426466166973114,0.08033318817615509
PekingU/rtdetr_r50vd,0.3,0.0787828117609024,0.10334677249193192,0.08168873190879822
facebook/detr-resnet-101,0.1,0.07638908177614212,0.11975428462028503,0.08020918816328049
yolo11m.pt,0.1,0.07493878901004791,0.09089586138725281,0.07637954503297806
facebook/detr-resnet-50,0.001,0.07201671600341797,0.10833790898323059,0.07423406094312668
yolov8n.pt,0.001,0.07121086120605469,0.09233275055885315,0.07380916178226471
yolov8m.pt,0.2,0.0703795999288559,0.08811267465353012,0.07017305493354797
facebook/detr-resnet-101,0.2,0.070165254175663,0.11063093692064285,0.07267769426107407
yolo11n.pt,0.001,0.0698268711566925,0.09456094354391098,0.07276257127523422
facebook/detr-resnet-101,0.3,0.06622066348791122,0.10157860815525055,0.06909447908401489
yolo11x.pt,0.1,0.06465349346399307,0.07436458021402359,0.06551763415336609
facebook/detr-resnet-50,0.1,0.06401696056127548,0.09446800500154495,0.06591895967721939
yolov8x.pt,0.1,0.06330200284719467,0.07392164319753647,0.06208126246929169
yolo11m.pt,0.2,0.062126219272613525,0.07371418178081512,0.06480252742767334
facebook/detr-resnet-50,0.2,0.05960870161652565,0.08635862171649933,0.06266577541828156
yolov8m.pt,0.3,0.059278182685375214,0.07483357936143875,0.058598682284355164
facebook/detr-resnet-50,0.3,0.05743720382452011,0.0822065994143486,0.05920575186610222
yolov8n.pt,0.1,0.05718238279223442,0.06962251663208008,0.062138840556144714
yolo11x.pt,0.2,0.05686558410525322,0.06332831084728241,0.05884022265672684
yolo11m.pt,0.3,0.05257135257124901,0.06446816027164459,0.0524885468184948
yolov8x.pt,0.2,0.049751751124858856,0.05479728803038597,0.04826850816607475
yolo11x.pt,0.3,0.049633532762527466,0.05530932918190956,0.04768435284495354
yolo11n.pt,0.1,0.047786157578229904,0.06047053262591362,0.04892824590206146
yolov8x.pt,0.3,0.046376220881938934,0.051153723150491714,0.044820841401815414
yolov8n.pt,0.2,0.045557498931884766,0.05358299985527992,0.04813453555107117
yolov8n.pt,0.3,0.03672218695282936,0.04103740304708481,0.04054594784975052
yolo11n.pt,0.2,0.035491831600666046,0.045391250401735306,0.035803552716970444
yolo11n.pt,0.3,0.029865840449929237,0.03454731032252312,0.03272751718759537
